lon,lat,object_id,mat_type,mat_tech,mat_prop,llrs,llrs_duct,height,height_1,yr_built,occupy,occupy_dt,str_irreg,str_irreg_dt,str_irreg_type,roof_shape,roofcovmat,roofsysmat,roofsystyp,roof_conn,floor_mat,floor_type,floor_conn,position,plan_shape
7.89227012235875,48.8983882243199,30394,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,MIX3,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP1,PLFR
7.89365145492734,48.8989902036785,30417,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP2,PLFR
7.89310499190241,48.8996580754255,30453,MUR,CLBRS,MOCL,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BPD,PLFR
7.89358172411368,48.8997322232694,30459,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RCN99,F99,FT99,FWC99,BP99,PLF99
7.8969425,48.898924,30484,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
7.90183375406954,48.9004245423969,30516,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.90131269693497,48.9005483410528,30536,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
7.89953162628056,48.9019721472915,30551,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,AGR,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FW,FW1,FWCN,BPD,PLFR
7.90146611986915,48.900680724229,30574,CR,CIP,MOC,LFINF,DUC,H,1.0,YAPP,RES,COM7,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP1,PLFR
7.90229223691256,48.9007075792221,30578,MUR,CLBRH,MOC,LO,DU99,H,2.0,YAPP,RES,RES2,IR99,IRP99,IRT99,RSH2,RMT1,RWO,RWO1,RTDN,FC,FC1,FWCN,BP2,PLFR
7.90189594975973,48.9008939018467,30585,MUR,CBS,MOCL,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH5,RMT1,RWO,RWO1,RTDN,FW,FME1,FWCN,BP1,PLFR
7.90184051213246,48.9013340209344,30644,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FN,FT99,FWC99,BP1,PLFR
7.90152891086733,48.9020928525883,30658,MUR,MUN99,MO99,LO,DU99,H,3.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP1,PLFR
7.90210255657578,48.9040352399401,30687,MUR,CLBRH,MOC,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BPD,PLFR
7.90138406574506,48.8969823111504,30732,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.89997298832776,48.8975898781926,30753,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP2,PLFR
7.89913307088711,48.8955612083589,30782,MUR,CLBRS,MOCL,LO,DU99,H,1.0,YAPP,IND,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT6,RME,RME1,RTDN,FN,FT99,FWC99,BP1,PLFR
7.9012719914444,48.8954319222011,30784,MUR,STRUB,MOCL,LO,DU99,H99,99.0,YAPP,RES,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FW,FW1,FWCN,BPD,PLFR
7.92236407170376,48.894096800991,30794,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRIR,IRPP,TOR,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BPD,PLFL
7.92281044548484,48.894060136047,30800,CR,CIP,MOC,LFINF,DUC,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FC,FC2,FWCP,BPD,PLFR
